speaker,words,tags,highlight,timelink
Stuart Yeager, What I've been starting dealing with with most of the individuals I've interviewed is reading you and reminding you of the events that took place as you came into Grinnell‚ some of the national events that might have affected your life in some way and also it might help you remember how times were because times have changed since 1958. In 1958 the median family income for whites was $5‚300.‚ for none-whites‚ $2‚700. Negro unemployment was at 14.4%‚ the highest in the past eleven years. I don't know if you might have been aware‚ or if it might have had something to do with your life. Resistance to southern voter registration was going on. KKK activity was on the rise. Martin Luther King was stabbed in the chest in Harlem. 1959: Voter registration drives and resistance. Sit-in campaigns were getting off the ground. They'd been in progress a couple of years maybe. Migrations were still taking place from the south. Black families were moving to north-eastern and central industrial cities. Martin Luther King was just beginning with Southern Christian Leadership Conference. I wanted to start out by asking you some questions about your family background‚ specifically your parents' occupations; their educational background; your home town and its make-up; the nature of your high school; your religious affiliation; and your parents' political affiliation. 
James Simmons, My father was killed in World War II‚ so I was basically raised by my mother who was a school teacher in the Chicago public school system and my maternal grandmother basically. Those were the two people who raised me. At the time my mother had a B.A. in education. She subsequently went on and got a master's degree in education. As long as I can remember‚ she always placed a value on education. There was never any doubt in my mind that I was going on to college. That was just a foregone conclusion. In terms of my high school‚ I went to a private high school‚ Francis Parker in Chicago‚ having come from an all black elementary school situation‚ and went really five years to Francis Parker which was an elementary and high school. When I graduated from elementary school‚ I had a double promotion‚ so when I went to Parker they put me back to my regular grade. So that was kind of an interesting and traumatic experience for me‚ having gone from an all black elementary school where I was basically the valedictorian of the class to a predominantly all white‚ rather sophisticated school who decided that I needed to go back to my regular grade which as it turned out was really O.K. I was baptized in the Congregational Church‚ having been basically raised in the Christian Scientist Church. I'm not really very active religiously. My mother's political -- I assume she was a Democrat basically. She never talked much about that. 
Yeager, What were your feelings -- your father had died in World War II‚ yet we're reading this kind of stuff‚ violence in the south. Extreme blatant racism all over the country -- how did you feel? Did you feel that there was kind of a contradiction between the two? 
Simmons, I don't think at that time. I think that came probably later in my life. I was only about four or five years old when my father went off to World War II and I really don't remember associating much of the civil rights movement with the fact that my father gave his life for the country where he'd have to sit in the back of a train. I think the only real experience I had with Jim Crow was when I went south one time and at St. Louis I had to change cars. 
Yeager, Was this on the way to school? 
Simmons, No‚ I was just visiting some relatives down there. I was rather young then. I was eight or nine or ten. I totally didn't understand. Chicago of course had its racist things‚ but they were much more subtle. And getting on the back of the bus when I was down there; sitting in the balcony of the show; all just seemed very strange to me. Like I said‚ it really wasn't until later that I really began to resent the fact that I'd lost a father who was allegedly fighting for freedom‚ and there was no freedom unless you happened to be white. 
Yeager, Do you know much about his background? 
Simmons, Yes. Some. He was a mechanic. I think a high school graduate. I don't know much about his political or religious beliefs. 
Yeager, Do you know whether he was in an integrated army -- 
Simmons, No. I think he was in an all black unit. I'm almost sure of that because I don't think -- it wasn't until Truman was elected that they integrated the service‚ and I'm sure he was in an all black unit. He was in the Italian fighting which was one of the tougher campaigns of the war. It was a segregated unit I'm sure. 
Yeager, Moving on to Grinnell‚ how did you choose Grinnell? What were your friends' reactions? Your mother's reaction to your choosing Grinnell‚ coming from Chicago? And were you actually recruited? 
Simmons, I really wasn't recruited. I found out about Grinnell because I had a number of friends who went here. Donald Stewart was a very good friend of mine and Herbie Hancock. There were a number of Chicagoans whom I grew up with who ended up at Grinnell. And I was looking for a small liberal arts college where I could play three sports. I knew that I had an opportunity to play a sport at a big time school‚ but I didn't want to do that. I wanted to come to a place where it was small‚ informal‚ personal and where I could have the opportunity to play sports and not worry about breaking my leg and losing my scholarship or whatever. My interest really came as a result of friends who were actually here. And I visited probably five or six colleges‚ most of which were small liberal arts with the exception of the University of New Mexico in Albuquerque. And when I came to Grinnell I felt comfortable. It was one of the places where I felt comfortable‚ about the only place where I really felt comfortable‚ part of it because I knew some of the people here. 
Yeager, Who did you know here when you came? Did you know Jim Lowry? 
Simmons, He and I went to grammar school and high school together‚ so he and I both visited pretty much the same colleges‚ and we kind of made a decision together to come here so I knew he was coming. And as it turned out we also found out that another friend of ours‚ Allison Davis‚ who was our roommate for three years‚ was also coming. 
Yeager, You all three were roommates. 
Simmons, Yes‚ we all three were roommates. We didn't know that he was coming until we got here‚ but‚ like I say‚ it was some of the preparation had already been made in that some of the people we knew were here and it made the transition that much easier. And I have to say‚ as I think about it‚ the idea of coming to a predominantly white college really didn't enter our minds because we had been exposed -- having been five years at a predominantly white high school pretty well prepared us for whatever was going to happen here. 
Yeager, I'm going to get to your activities in athletics because I'm very interested to hear your response about the reactions you were getting being black on all white teams. Was that a problem? Or had you been playing in athletics with whites in the past? 
Simmons, Yes. In high school most of the teams that we were involved with were predominantly white. And usually it was Jimmy and I and one or two other players -- we were the only ones on the team. We did have some incidents‚ because the conference we played in included some suburban private schools who really weren't ready to deal with blacks. We got called “niggers“ and this and that‚ but after awhile you learn how to cope with that. That's the best you can do. That's your best shot. Save your time. 
