speaker,words,tags,highlight,timelink
Stuart Yeager, We're going to start by asking you a couple of questions about your parents' occupations and their educational background and your home town. Why don't we start with your parents' occupations? 
James Lowry, Both my parents are postal workers‚ and I was born and raised in Chicago‚ Illinois. 
Yeager, Can you tell me a little bit about their educational background? 
Lowry, High school graduates. Both were high school graduates in Chicago. 
Yeager, And they were both from Chicago originally? 
Lowry, No‚ from the South. My father's from Tennessee and my mother's from Mississippi. 
Yeager, They met in Chicago? 
Lowry, They met in Chicago. 
Yeager, Do you have any idea when they came from the South to Chicago? 
Lowry, Yes. When they both were in their teens. 
Yeager, Can you tell me something about your neighborhood in Chicago? Was it segregated? Desegregated? 
Lowry, Segregated. Lower middle class‚ I would say. 
Yeager, Your high school? 
Lowry, Francis Parker. 
Yeager, Can you tell me a little bit about the connection between Grinnell and Francis Parker? We have a whole lot of people from Francis Parker. 
Lowry, Well‚ I think it's just...if you know anything about Francis Parker‚ Francis Parker is a day school where they spend a lot of emphasis on where students are to go. At one time when I was there‚ it was estimated that the principal spent thirty to forty percent of his time trying to place Francis Parker students in the college or university of their choices‚ and it was just very tough. It was a tough school. I think the other thing was that they tried to fine tune the selection to the personalities‚ and that's why I came here-it was decided. It was almost like a computer. 
Yeager, They told you that you were Grinnell material? 
Lowry, They told me. Yes. They really‚ they gave us a choice they gave me a choice of about four schools: basically Lawrence‚ Grinnell‚ Kenyon and Oberlin. I visited three of the four-and one twice. And I just decided to go to Grinnell. 
Yeager, A few more questions and then we're going to get to Grinnell. Your parents' religious affiliations and their political affiliations? 
Lowry, They were Democrats‚ Lutheran. 
Yeager, How important was politics in your family? 
Lowry, Not very. 
Yeager, It was not discussed a lot? 
Lowry, No‚ not to a great-great extent. 
Yeager, You discussed a little bit how you chose Grinnell? What were some of the reactions your parents had and your friends had to your going to Grinnell? 
Lowry, Well‚ in my case‚ my brother had gone to Kenyon‚ so my brother was four years older. And so it wasn't as unique a selection because of my brother. In fact‚ my father wanted me to go to Kenyon‚ because my brother had a very illustrious career at Kenyon. But it was an all-boys school‚ and I really didn't what to go to an all-boys school. And probably didn't want to follow my brother. But they were very used to a liberal arts college‚ so it was not a big shock. 
Yeager, Why a small liberal arts college as opposed to a university? 
Lowry, I was very interested in athletics. 
Yeager, And you thought you'd get better attention in a small school? 
Lowry, No‚ I wanted to participate in three sports. I figured could have played one sport in a major university‚ but I couldn't have played all three. 
Yeager, Were you recruited by the college? 
Lowry, In the typical Grinnell fashion. No‚ I think we kind of showed up at Grinnell's doorstep. Once we showed up-we meaning Jimmy Simmons and myself-we presented ourselves with our credentials and our board scores and athletic prowess‚ then Grinnell got very interested. But it was not a case where Grinnell said‚ “We want you to come here.“ 
Yeager, So at that time Grinnell wasn't-at the time was making an active effort to recruit black students? 
Lowry, No‚ not really. No. 
Yeager, Now‚ Allison Davis came a year later? 
Lowry, No. We're all roommates. Allison Davis‚ Jimmy Simmons and myself were roommates in Smith Hall. 
Yeager, All three came to the doors at the same time. 
Lowry, Yes. But they didn't even know Allison was black. 
Yeager, What personal and occupational goals did you set for yourself once you arrived there? 
Lowry, At that time I thought I wanted to be a lawyer. 
Yeager, Any other goals that you set? 
Lowry, Not really. It was ...I don't know why‚ when I look back on it‚ but I really didn't have any career goals. I think that's probably common for a lot of blacks around that era. We were here‚ and this was just the first step‚ going to a good school. And I think we thought‚ you know‚ in terms of professional school‚ but in terms of career‚ no. We were just out there. 
Yeager, What was your brother doing? 
