speaker,words,tags,highlight,timelink
Stuart Yeager, We start with questions about your family and then we move up to your Grinnell Experience and then after your Grinnell Experience. First off‚ can you tell me something abdut your parents? Their occupations? Their educational backgrounds? 
Donald Stewart, My mother and father were both born in the north‚ both grew up in western Pennsylvania. My father is a high school graduate‚ with a good deal of night school education but not a college degree. My mother has whatever is the equivalent to an Associate's degree-two years of college. 
Yeager, Can you tell me something about the community which you grew up in? Was it segregated? Non-segregated? What was the socio-economic background? 
Stewart, I would say mid.dle crass and integrated. I grew up in Hyde Park in Chicago‚ near the University of Chicago. We were the first black family to move into our block. I went to-well‚ let me divide it. I went to an all-black grade school-primary school‚ and we moved into the Hyde Park area when I was 11‚ I guess‚ or 12‚ and I~ to an integrated high school‚ Hyde Park in Chicago. 
Yeager, What year was that? 
Stewart, I entered high school in 1952. 
Yeager, And they'd already started integrating the highschools. 
Stewart, That's right. 
Yeager, Now‚ were you one of the few black students in yourhigh school? 
Stewart, I was. Well‚ we were a small minority at that time. 
Yeager, Smaller than you were later at Grinnell? 
Stewart, No‚ larger than we were at Grinnell. When I was a student at Grinnell I think there were only three blacks at Grinnell. I would say at Hyde Park we were about 15 to 20 percent of the student population when I was there. 
Yeager, Can you give me your parents' political affiliation? 
Stewart, Both Democrats.
Yeager, And your religious affiliation? 
Stewart, I grew up in a Congregational Church‚ what is todaythe United Church of Christ. 
Yeager, How did you choose Grinnell‚ and what were yourfirst reactions‚ and your parents' reactions? 
Stewart, It was my parents' decision that I come to Grinnell. Because we were an active Congregational Church family we had heard of Grinnell many years and we‚ the family‚ would go to a church camp in the summers. One summer‚ when I was eight or nine y~ars old‚ the then Dean of Men of Grinnell College was at the same summer camp. He became a friend of my parentsand he convinced them then that Grinnell would be the placefor me to go .... 
Yeager, Do you remember his name? 
Stewart, It'll come back to me‚ because he was Dean of Men when I came to Grinnell. My parents were determined that I attend an integrated college. Most of my‚ to answer the rest of your questions‚ most of my friends were going to black colleges‚ such as Howard‚ or to a public university‚ like the University of Illinois‚ and my parents very much wanted me to have‚ and my sister‚ to have an experience at a small private college that was not predominantly black. And theyinsisted I go to Grinnell. 
Yeager, Was there a certain reason? 
