speaker,words
Stuart Yeager, I want to start out by reminding you quickly or just reading some things to you of some of the events that took place in 1968‚ when you first came to school here. You did come in 1967‚ well I won't get into the events of 1967 but they were probably many of the same things that were going on in &bull;68. We'll move towards a heightened strength in the tip of the civil rights movement. By 1968‚ by April‚ Martin Luther King was assassinated‚ rioting broke out in U.S. cities all over the country‚ the House passed a bill banning racial discrimination against housing. The medium Negro income was $4‚900 as compared with $8‚000 for a white family. We were in the midst of Vietnam. I want to keep in mind‚ I'm sure you have them in mind‚ I was pretty young at the time. First I'd like to ask you some guestion about your family‚ your background and then we'll move into your arrival at Grinnell and talk about some of your experiences. Can you begin by telling me a little bit about where you are from‚ your family background?
Frank Thomas, I was born in Arkansas and my family moved to Chicago‚ fortunately they took me with them‚ when I was three and a half. And I was born in 1944 which I think is going to be somewhat irrelevant to what we're talking about as far as my experience at Grinnell. I grew up in Chicago and went to high schoalthere and later worked. I got out of high school in January of 1 62. Chicago and some states still ran a split system where you could get out in mid-year. So I got out in January of 1962 and I did not go to college right away. I entered Grinnell as a matter of fact in January of 1967. So I was almost 23 when I got there. And I worked for those five years between high school and Grinnell. I was one of three surviving children to my mother. My parents separated for good in 1960. They had had a couple of separations before that and essentially from 1960 until the time that I became an independent supporting person‚ my family was on ADC‚ and that was the family income except for what we supplemented through paper routes or whatever. So I grew up in the south side of Chicago and had‚ I guess in some ways‚ I had a lot more involvement with white people during that time because of the church that I went to. I was involved with a southern integrated church and the people had been coming to that church for a number of years from other places‚ so I think it was some involvement (there was some involvement). So I was essentially a street kid‚ I did not belong to a gang and I did not believe in a gang. I was not a street person in the sense that I belonged to a gang but growing up in the streets of Chicago you have to become a street person to some extent‚ so I was a street person. I worked. (What kinds of jobs did you have?) I worked as a secretary for a while‚ and that was pretty much right after‚ right after high school because I was very interested in typing when I was young and I became a good typist and I worked as a secretary for a dentist‚ a doctor‚ and part-time for an accountant who had been one of my teachers in high school who ran a business_ on the side‚ so I typed and did things like that. After that I worked for the Treasury Dept‚ as a clerk typist for nine months I thinlc it was. At which point I also did a stint as most young black people did during those times in Chicago when most young black people worked in the Fost Office. I always went to the Post Office‚ I did that for long time engagements or for short time en:2:agcr;1<.mts. I worked for the Post Office for awhile‚ before I got my job as a clerk typist. Then in late '6J‚ in November of &bull;63 1 I found out that I had TB. I want into the Tuberculosis Sanitarium in Chicago and stayed in there from Nov. of' '63 to July of 1 6Li.-or June‚ I'm never&middot; sure about the time but I guess it's not important‚ because I had a history of asthma; they were not going to operate on me during the time of high allery season‚ and my particular form of TB was resistant to the chemical medication. So they weren't going to operate so I thought‚&middot;&bull; 111 0lray‚ I' 11 go out and them come back.“ They heard that a lot of times but I did come back.
Yeager, You were very‚ very ill? 
Thomas, No‚ I wasn't. I never felt that I had 'l'B‚ I never had any debilitating effects so they tried to keep us calmed down because we were young. And I went in there when I was nineteen‚ and we would do athletic things‚ stuff like that and people were trying to tell us you can't do things like that‚ you're all so sick‚ well what are you talking about. So‚ fortunately I had a small area of my lung that was involved‚ upper left lobe‚ and I we.nt out in July and through my church to summer camp. And went back in October of 1 64 for my operation. Spent a month in there building up and I had my operation in November of &bull;64. I was released from the hospital‚ from the Sanitarium in January‚ end cf December‚ January. And beg2‚n working for the Tuberculosis Sanitarium‚ not the same one but the one in Hinsdale. :Because of a different environment‚ it was all white. All white community‚ in Hinsdale‚ Illinois. And I lived on the grounds. They had housing that t:hey rented cheap to anybody that lived and worked there‚ and started getting interested in going to school at Grinnell. Right after high school I had gotten actrnitted into some places‚ but I had no money. That was just prior to the big push for getting black students in places. I had been an underachiever in high school. I didn't begin school until I was eight because of my asthma‚ I went through grade school until I was twelve and a ha.lf‚ then went into high school and in retrospect I think that what hannened that I sort of burned out because I had a lot of other things~going on and I was sort of tired and never had a chance to be a child. So for the first two years‚ I really essentially did not work up to my potential. The indicators were there. People who knew said you have to work up to potential‚ but beginning into my sophmore year just before my junior year I started to worl<::: up‚ decided to do something so from then on I did work up to my potential‚ becarne an '“A“ student from that point. 'rhat v1as not enough if I don't get any money. irhe most I could get was 'f:1‚000 for my student loan at the time. I wasn't getting any scholarship money. Everyone said v;re 'd like to have you be here. I got a look at Dartmouth and places liJce that but no money. As I said‚ it was just before the big push. So going back to '65 after my TB. I worked for the TB Sanitarium‚ I got interested in school again. And I had already heard about Grinnell‚ and I had already sort of inquired in high school‚ and I read through the catalogs and looking for places nearby Grinnell‚ nearby. But then I moved on to continue working as a laboratory assistant in the TB Sanitarium and went then filling out an application--applied to Arizona State. I had the notion that wanted to become a chemical engineer. And I'm glad I got into that. But Arizona State admitted me‚ and I was all set to go to Arizona State in the fall of 1 66‚ and that fell through-at the last moment they just ran out of money. That was devastating because I was all set to go‚ and I had been‚ I though I had been committed to money. I'd been orally committed tbe money. There was nothing on paper. I got a call. That was one of the devastating times of my life. I got a call out of the blue from this woman who was a personal secretary saying I'm sorry we don't have the money. Well‚ I wasn't really aware of some of the kinds of contacts and callers I could utilize to try and push that thing so I didn't do it. And I quite my job at the TB Sanitarium so I suddenly needed a job and a friend of mine‚ a minister who was familiar with a guy who was also an Episcopalian who was his friend: he was a manager‚ a retail manager or manager of the regional office of Proctor and Gamble and ran the data processing department. I went down and got a job as computer operator‚ through that connection. And it was there that I was working when Grinnell came into my life once again. That was in the fall of 1966‚ I began in September. A friend of mine that I'd gone through the last year and a half of grade school and all through high school had gone to Harvard‚ and I was corresponding with him. 
Yeager, Now did you go to a high school in the ghetto area? 
Thomas, Yes. 
Yeager, And you had some students that really came out of there and emerged to be top students? 
Thomas, Yeah‚ I guess I should explain that a little bit. You are familiar with tracking in schools--that you track certain students. Some students are perceived as bright. Some are perceived as average. Some are perceived to be less than average. We were perceived as a group. My entering group in high school; there was a group of us. It was an all black high school incidently. I guess to say it in today's terms‚ it was 99% black‚ but I think we might of had a couple of Hispanics or something like that. We were perceived as a group;there was about twenty-five of us as being the cream within that time‚ and I stayed within that track program even though I was not working up to potential..in high school. I stayed within that program the whole time‚ by the grace of God‚ by the fact that people believed‚ that they knew I had it. So we were put in what they called‚ they didn't call it track they called it accellerated program. That had its good points and its bad points. Its bad point for me was that because I had gone through grade school so rapidly and people assumed from these brightpeople that we had a lot more knowledge than we actually had about certain thing~. One of the things that they assumed we had knowledge was grammar. We didn't know nothing about English grammar for the most part. We knew a little bit‚ of course‚ we learned some things‚ in terms of the basic kind of things they say to you as a student would have gotten from your home and from school. We didn't. But at home we're not getting English grammar. 
Yeager, What type of educational background did you parents have? Did they both finish high school? 
Thomas, No‚ I was the first‚ the second in my whole family to finish high school. 
Yeager, How far did they get? 
Thomas, My mother got to 11th grade and my father got out of high school right after she dropped out. She dropped out‚ she was a hell raiser when she was young. Her sister was the first high s.chool graduate in the family in Arkansas~-that's where they were from. She had graduated from high school in Arkansas‚ she was the first one. I was the second. My brother--I had an older brother--he was two years older than I was and he had dropped out and later on he went back to finish. So in all of my family; father's side‚ mother's side‚ I was the second high school graduate. So high school was really kind of a strange thing because I was in an accellerated program and we were like just being given a whole bunch of things‚ but no basic skills in a lot of things because people made some assumptions about what we could do and what we knew. That was what exposed something bad but yet exposed a lot of different things‚ that a lot of students were not going to be exposed to but we were also not exposed to basic things. We found that out graphically in 1961‚ in the summer of 1961‚ there was a move to start merging black students in wath certain kinds of programs where more advantaged students were getting into white high schools. 
Yeager, Was this in high school? 
Thomas, Yeah‚ for the summer. So we went out--a group of us went out for the summer to this white high school to take accelerated programs in English‚ geometry‚ chemistry. There were about four areas in that time. We took English some of us‚ we got wiped‚ we '. just got wiped; totally blown away. We all survivied of course‚ but it was an experience I would not like to go through again‚ because we thought we were hot shit‚ and we though we really had it. We went out there and sat with white students for the first time as a competitive process and talking about English structure‚ we couldn't make any out. The closest we got to it was the previous English class we had in high school before that summer and the teacher was sort of going a lot of other things‚ but every now and then he'd try and make some stabs at teaching us. But that was a valuable lesson at the time for all of us and then we got out of school in January‚ the following January in &bull;62. In effect then we had this thing going‚ and my friend‚ the Harvard student‚ my friend had been a better predictor. Harvard had tapped him and said we want you to come up at Harvard. Harvard was leading the move to grab people. All of us. All of us within that twenty-five group or so--I don't know if that's the exact number‚ but I think it was about twenty-five-all of us were expected to go to college. It was presumed we would all go to college. So he got in time to go to Harvard‚ but Harvard said when they looked at him. They evaluated him. They said‚ :i 1t.'ell ~ vre want you to go to a prep school for a year‚“ This is after high school. So they sent him to lVit. Herman. So he went to Mt. Herman for a year after high school. And th2_t was a valuable experience both for him and for me because he and I were very close;-and we wrote and I v1ent out to see him. It was a vicarious ex-oerience for me‚ but it was valuable. So Harvard sent him out there~to study at Mt. Herman so he did that; and he got out of Mt. Herman and went into Harvard '62 through 1 64. And while he was at Harvard‚ and then when moving up ncv:r to 1 66; when I was suddenly working for Proctor and Gamble a.s a computer operator. I had gotten some infor:ination and aonlied to Grinnell in that time and had visited Grinnell in lYiarch o:( '66. I just had been working at the 'rB thing for a year. I had a vacation‚ and I took a ten-day bus ride to 'racoma to see my sister-in-Ia's; my brother was in the service and he's married. So I Wf.mt out to see her‚ and I had wantc'o'd to see that part of the count~~v‚ and on the way I stonped at Grinnell to vislt as scrt of a pa:~osp~;ctive &bull; And I liked the campus and I thought it W3.S a nice place. I had applied to Grinnell‚ but I had let that lapse because :l\ -1 -&bull; ‚ ‚. &bull; “''t t d ?) r1&middot; &bull;&bull; ‚.‚. ~‚ k “f I1 I T.. J .L &middot;lac:t app_‚iea 1:;o ~~rizona ::i -a&middot; e an. -. 1. ‚4ian L‚ rea.1~y .rnm‚v 1. wanted to go to that kind of rich school. I wanted to be a chemical engineer and Arizona State had a good program. Come 1 66 then‚ late fall of '66‚ I v1as still. without a school‚ and I was working. And I got a letter from my friend which said that‚ “Grinnell is looking for you‚ and to contact John‚ a friend of ours‚ the minister friend.“ So I contacted John‚ and John knew a guy by the name of Harold Hardin. I don I t know what class he was‚ but Harold in sorn.e way..‚--I never did find out--said‚ “This is where Frank is.“ and I contacted Grinnell. Dale Terry who was director of admissions at the time siad‚ “;‚Jhere have you been?'' “Ue'vc been looking for you.“ So I told him what had. happened. So we started getting my act together to come to school. And I was :going to enter in January of &bull;67. Well‚ the problem with that was I had gone to a junior college off and on and had talten four courses all together in these intervening years and had dropped three of them because they were below my level; the only one I };:ept was Germa:n. 'I'hey had a problem getting the transcript from the junior college. We also had a problem get&middot;ting my medical history. Getting the records f'rom the TB Sanitarium‚ the bureaucracy of it was your problem. Things kept moving along‚ moving along and suddenly in DeceEibcr‚ I :finally got the stuff‚ and I'd talked to Dale 'rer:cy when we'd finally got the stuff‚ and he said‚ “:;foll‚ it's going to be too late to get you in ‚January. 1:Jell‚ vvhy don't you take the spring and go to a junior col.Jeg‚e again and keep your brain sharp and enter in September of '67.“ So I sa..id‚ “Okay‚“ But what happened c~fter that w2cs my friend thad told my friend J&middot;ohn 1:'hat.~ad happened and J“ohn Giad‚ “Do you still want to go to Grinnell?“ 1 sa~ia.‚ 'HYes‚“ 
Yeager, Had he graduated f'rom Harvard by now? 
Thomas, No‚ my friend had&bull; n‚-~);t f':::'i.encl was the 2:-iJ..y who we:1t to Harvard. He still was at Harvard‚ but John wa; the minister. So I was talking to him‚ and he sic;id‚ ''Do you still want to go?“ And I said‚ n-:tes.“ So I heard nothing more from him and then rrhursday‚ J&middot;anuary 12th--I can :figure by the day because .it was the d2.y of the first superbov‚rl that I arrived at Grinnell. ir&#10003;hat happened was that Thursday John c2.lled me‚ and I was home because I had injured my :foot--gotten athlete's fungus in a broken blister which eventually ate a hole in my foot. So I was off work and John called me and said‚ “Do you still want to go to Grinnell‚ and I said. “Yes. 0 He said‚ he'd get back to me. And literally that's the way the conversation went. So I said‚ “Okay.“ Sunday morningil Januar;y 15th‚ I got a call about 9: 00 in the morning from J-ohn‚ and he said‚ “How soon can you get out to Grinnell?“ “I don't know.“ He said‚ nFind out and get back to me.'' So I called around town to the Rock Islandt used to run a train right through town‚ and they said they could get me out here‚ train left around 2:00 and could get me out here “lround 8: 00 p.m. Well‚ I didn I t };.now anything a bout Rock Island! I didn't know that eight meant twelve to them. So you get on the train and leave at 2:00 or something lite that. Be there at 8:00 and be on it. Sunday‚ I had very little money in my :pocket‚ and I had some money in the bank. My f2.c111ily 1vas trying to get a few things ready. So I called 'rhad' s younger brother with whom I had been friendsi and the whole family. So he came over and :helped and they all got me down to the train station and I was off -to G1~inn.ell‚ 
Yeager, Can I ask you a couple more questions? Can you tell me &bull;Nhat your parents' occupations were and what their politicaly affiliations were? 
Thomas, l\'Iy mother hacl done some jobs. Ify fatter had been basically a mechanic. He really loved cars. He worked on cars. l'‚1y mother had some factoi~y jobs‚ but after she went on ADC essentially she did not work. She wasn't allowed to work:. 
Yeager, Ilow many children did she have? 
Thomas, There were three children‚ three of them. Their politcal affiliation. :Jell‚ they were pretty well‚ apolitical‚ but essentially they were Democrats. That was their party selection. 
Yeager, Do you remember them voting? At the time‚ the only reason I'm interested is that at the time that you leaving high school‚ they were having difficulty registering people to vote at all or voting in the South. 
Thomas, I don't remember my father ever voting. J:‚'Iy r:1other vot‚3d. I don't ever remember my father voting. And I voted for the first time--you still had to be twenty-one in those days--I woted for the first time in 1 66‚ 
Yeager, biho did you vote for? Johnson? 
Thomas, The first vote I cast was for a state election and was for Charles Percy. I guess by philosophy I was leaning toward Democrat‚ but Fercy was saying the right things. So I was twenty-&bull; one and I could vote. 
Yeager, Who did you vote for in the presidential election? You didn't vote for Goldwater? 
Thomas, Oh no‚ no‚ I wa.s never a Republican. I voted for j-ohnson. I was never a Republican. But my first vote had been cast for an intelligent person. '.rhere were Democrats and I voted f'or them too. 1?erc.y‚ -t.he: ~;.cr1ator“ial cctnclida-te in I llir1ois‚ i.r\las &middot;t11e be&middot;tter~ of the two people. I can't remember who ran against Percy. So anyway that was my first vote. I guGss we were Democrats. 
Yeager, In that campaign if you remember‚ were there issues or questions of race being discussed in the campaign‚ and how were you affected by that? 
Thomas, Not in Chicago‚ and there were issues of race‚ and there was the black vote.~ But Chicago‚ you may have heard has a judicial system all its own. So it didn't really matter. That was clear. 'rhey just assigned certain numbers of black votes that they wanted~ and if the numbers didnwt turn out they added them anyway. So it really didn't rnrittEff‚ and I took it all very seriously‚ and I was really believin-g; in the American system and that your vote counted and I still do. I still believe in it‚ and I still don't tell p‚20:'.J1(:; after the election like right now. It is sort of unusual to say that I voted for Percy or Johnson because I really don't tell people‚ I really bought that whole bit. So it didn't really matter whether there was a ouestion of race. The auestions came up later. Like in '68 and things like that. i-\. t the tirae that I started voting that was not a significant issue in Ghicago. There was in sorne places but not in Chicago because it didn't matter. Daley ran things. He wanted this. He wanted that‚ and he got it. 
Yeager, 1:folJ‚ we kind of got into how you chose Grinnell‚ dhat were your friends' reactions to choosing Grinnell‚ Vifhat were your parents' reactions to c;hoosing Grinnell‚ and do you consider&middot; yourself actively recruited becauss you had these contacts with John. 
